Domain,Kingdom,Phylum,Class,Order,Family,Genus,Species,OTU,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5,C1,C2,C3,C4,C5
d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Colidextribacter,s__uncultured_bacterium_g__Colidextribacter,OTU753,0.00450938,0,0,0,0.013528139,0,0,0,0,0,0,0,0,0,0
d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridia_UCG-014,f__norank_o__Clostridia_UCG-014,g__norank_f__norank_o__Clostridia_UCG-014,s__unclassified_g__norank_f__norank_o__Clostridia_UCG-014,OTU731,0,0,0,0,0.040584416,0.387806638,0.009018759,0.009018759,0,0.036075036,0.00450938,0.027056277,0.198412698,0.09018759,0.072150072
d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__UBA1819,s__uncultured_bacterium_g__UBA1819,OTU208,0,0.013528139,0,0,0.126262626,0,0,0,0,0,0,0,0,0,0
d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Lachnospiraceae_NK4A136_group,s__uncultured_bacterium_g__Lachnospiraceae_NK4A136_group,OTU626,0.022546898,0.049603175,0,0.031565657,0.568181818,0,0,0,0,0,0,0.293109668,0,0.072150072,0
d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Clostridia,o__Christensenellales,f__Christensenellaceae,g__norank_f__Christensenellaceae,s__uncultured_bacterium_g__norank_f__Christensenellaceae,OTU766,0,0.009018759,0,0,0.00450938,0,0,0,0,0,0,0,0,0,0.00450938
d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__unclassified_f__Lachnospiraceae,s__unclassified_f__Lachnospiraceae,OTU388,0.022546898,0,0.018037518,0,0,0,0,0,0,0.018037518,0,0,0.00450938,0,0.027056277
d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Marinifilaceae,g__Odoribacter,s__uncultured_bacterium_g__Odoribacter,OTU567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__norank_f__Muribaculaceae,s__unclassified_g__norank_f__Muribaculaceae,OTU764,0.013528139,0.018037518,0.013528139,0.018037518,0.018037518,0,0,0,0.027056277,0,0.00450938,0.058621934,0.067640693,0.045093795,0.09018759
d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__norank_f__Muribaculaceae,s__unclassified_g__norank_f__Muribaculaceae,OTU38,0.018037518,0.027056277,0.00450938,0.022546898,0.013528139,0,0,0,0,0,0,0.00450938,0.00450938,0,0
d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__norank_f__Muribaculaceae,s__uncultured_bacterium_g__norank_f__Muribaculaceae,OTU415,0,0,0,0.00450938,0,0.00450938,0,0,0,0.099206349,0,0,0.009018759,0,0
d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__unclassified_f__Lachnospiraceae,s__unclassified_f__Lachnospiraceae,OTU460,0,0,0,0.027056277,0.00450938,0.013528139,0,0,0.009018759,0.009018759,0.072150072,0.036075036,0.09018759,0.049603175,0.045093795
d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Bacilli,o__RF39,f__norank_o__RF39,g__norank_f__norank_o__RF39,s__unclassified_g__norank_f__norank_o__RF39,OTU633,0,0.013528139,0,0.018037518,0.018037518,0.036075036,0,0.00450938,0,0,0,0.00450938,0.009018759,0,0.036075036
